                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                 0.9487,                0.71033,                 1.2866,                0.97978,                0.92308,                 0.9779,                0.56793,                      0,                    inf,                      0,               0.005545,               0.005545,               0.005545
                     38,                0.96361,                0.72962,                 1.2998,                0.95803,                0.94549,                0.97622,                0.54781,                      0,                    inf,                      0,              0.0054212,              0.0054212,              0.0054212
                     39,                0.93606,                0.67662,                 1.2761,                0.95968,                0.93491,                0.97406,                0.58986,                      0,                    inf,                      0,              0.0052975,              0.0052975,              0.0052975
                     40,                0.94021,                0.69262,                  1.282,                0.94154,                0.91716,                0.96345,                0.59388,                      0,                    inf,                      0,              0.0051737,              0.0051737,              0.0051737
                     41,                0.91575,                0.67641,                 1.2701,                0.98757,                0.94015,                0.98072,                0.60977,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     42,                0.92141,                    inf,                 1.2657,                0.96734,                0.89349,                0.95076,                0.57503,                      0,                    inf,                      0,              0.0049263,              0.0049263,              0.0049263
                     43,                0.91807,                0.66288,                 1.2613,                0.96374,                 0.9437,                0.98233,                0.63877,                      0,                    inf,                      0,              0.0048025,              0.0048025,              0.0048025
                     44,                0.91413,                0.65715,                 1.2608,                0.97451,                0.94083,                0.97566,                0.61726,                      0,                    inf,                      0,              0.0046788,              0.0046788,              0.0046788
                     45,                0.88297,                    inf,                 1.2366,                0.97505,                0.92484,                0.96834,                0.60572,                      0,                    inf,                      0,               0.004555,               0.004555,               0.004555
                     46,                0.88105,                0.64446,                 1.2476,                0.96599,                0.92308,                0.96905,                0.56077,                      0,                    inf,                      0,              0.0044313,              0.0044313,              0.0044313
                     47,                0.87799,                0.63367,                 1.2409,                0.96466,                0.89349,                0.96835,                0.58756,                      0,                    inf,                      0,              0.0043075,              0.0043075,              0.0043075
                     48,                0.87283,                0.62668,                 1.2324,                0.93545,                0.94332,                0.97885,                0.59921,                      0,                    inf,                      0,              0.0041837,              0.0041837,              0.0041837
                     49,                0.86409,                0.61261,                 1.2332,                0.98616,                0.93491,                0.98234,                0.61788,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     50,                0.87919,                0.62244,                 1.2499,                0.97489,                0.91905,                0.97994,                0.60321,                      0,                    inf,                      0,              0.0039362,              0.0039362,              0.0039362
                     51,                0.85861,                0.61374,                 1.2155,                0.98724,                0.91545,                0.97863,                0.63714,                      0,                    inf,                      0,              0.0038125,              0.0038125,              0.0038125
                     52,                0.82639,                0.60052,                 1.2032,                0.97385,                0.94675,                0.98263,                0.58567,                      0,                    inf,                      0,              0.0036888,              0.0036888,              0.0036888
                     53,                0.81817,                0.58037,                 1.1943,                0.95797,                0.94675,                0.97121,                0.62003,                      0,                    inf,                      0,               0.003565,               0.003565,               0.003565
                     54,                0.84098,                0.62323,                 1.2065,                0.95772,                0.93822,                0.97626,                0.62957,                      0,                    inf,                      0,              0.0034413,              0.0034413,              0.0034413
                     55,                0.83609,                0.60591,                 1.2082,                0.96983,                0.95121,                0.98037,                0.59124,                      0,                    inf,                      0,              0.0033175,              0.0033175,              0.0033175
                     56,                0.80406,                    inf,                 1.1864,                 0.9655,                0.94675,                0.97073,                0.63899,                      0,                    inf,                      0,              0.0031938,              0.0031938,              0.0031938
                     57,                0.81165,                0.57442,                 1.1946,                0.98579,                0.93491,                0.97342,                0.62247,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     58,                 0.8148,                0.59015,                 1.1982,                0.99382,                0.95189,                0.97843,                0.62297,                      0,                    inf,                      0,              0.0029462,              0.0029462,              0.0029462
                     59,                0.79447,                0.57054,                 1.1855,                0.98121,                0.92686,                 0.9701,                0.63972,                      0,                    inf,                      0,              0.0028225,              0.0028225,              0.0028225
                     60,                0.81358,                0.57191,                 1.1867,                 0.9619,                0.92308,                0.96829,                0.61413,                      0,                    inf,                      0,              0.0026987,              0.0026987,              0.0026987
                     61,                0.79375,                0.56609,                 1.1799,                 0.9639,                  0.948,                0.98169,                 0.6124,                      0,                    inf,                      0,               0.002575,               0.002575,               0.002575
                     62,                0.76794,                0.54424,                 1.1601,                0.96676,                0.92308,                0.96138,                0.63484,                      0,                    inf,                      0,              0.0024513,              0.0024513,              0.0024513
                     63,                 0.7611,                0.53315,                 1.1575,                0.98709,                0.90459,                 0.9651,                0.61449,                      0,                    inf,                      0,              0.0023275,              0.0023275,              0.0023275
                     64,                0.75756,                0.53758,                  1.163,                0.95824,                0.95048,                 0.9662,                0.62528,                      0,                    inf,                      0,              0.0022038,              0.0022038,              0.0022038
                     65,                0.76383,                0.55458,                 1.1634,                 0.9463,                0.93853,                0.95551,                 0.6159,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     66,                 0.7505,                0.53221,                 1.1524,                0.96963,                 0.9445,                0.97966,                0.62706,                      0,                    inf,                      0,              0.0019563,              0.0019563,              0.0019563
                     67,                0.73866,                0.52308,                  1.153,                0.95473,                0.95858,                0.97258,                0.63152,                      0,                    inf,                      0,              0.0018325,              0.0018325,              0.0018325
                     68,                0.74277,                 0.5234,                 1.1526,                0.95697,                0.94675,                 0.9584,                0.61835,                      0,                    inf,                      0,              0.0017087,              0.0017087,              0.0017087
                     69,                0.74441,                0.52014,                 1.1603,                0.98028,                0.93491,                0.96084,                0.64213,                      0,                    inf,                      0,               0.001585,               0.001585,               0.001585
                     70,                0.69195,                0.35863,                 1.1242,                0.95688,                0.94083,                0.96851,                0.63861,                      0,                    inf,                      0,              0.0014612,              0.0014612,              0.0014612
                     71,                0.63908,                    inf,                 1.0839,                0.97237,                0.91124,                0.96616,                0.64093,                      0,                    inf,                      0,              0.0013375,              0.0013375,              0.0013375
                     72,                0.63981,                0.32672,                 1.0769,                0.96313,                0.92739,                0.96529,                0.65417,                      0,                    inf,                      0,              0.0012138,              0.0012138,              0.0012138
                     73,                0.62579,                0.32357,                 1.0808,                0.93625,                  0.956,                0.97336,                0.66159,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     74,                0.62553,                0.33278,                 1.0861,                0.96218,                0.90313,                0.97215,                0.66064,                      0,                    inf,                      0,             0.00096625,             0.00096625,             0.00096625
                     75,                0.60294,                0.30419,                 1.0584,                0.95823,                0.95028,                0.98002,                0.64626,                      0,                    inf,                      0,              0.0008425,              0.0008425,              0.0008425
                     76,                0.60854,                0.31504,                 1.0753,                0.94516,                0.95266,                0.98041,                0.65673,                      0,                    inf,                      0,             0.00071875,             0.00071875,             0.00071875
                     77,                0.58462,                0.30152,                 1.0491,                0.93783,                0.97041,                 0.9836,                0.66455,                      0,                    inf,                      0,               0.000595,               0.000595,               0.000595
                     78,                0.58036,                0.29847,                 1.0549,                0.95881,                 0.9645,                0.98355,                0.66319,                      0,                    inf,                      0,             0.00047125,             0.00047125,             0.00047125
                     79,                0.58797,                0.32513,                 1.0591,                0.94172,                0.98225,                0.98394,                0.66844,                      0,                    inf,                      0,              0.0003475,              0.0003475,              0.0003475
